host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
8624440,2013-09-04,"Paris, Ile-de-France, France",0,1,1,1
27630628,2015-02-12,"Paris, Ile-de-France, France",0,1,1,1
14321712,2014-04-15,"Paris, Ile-de-France, France",0,1,1,1
12835991,2014-03-05,"Paris, Ile-de-France, France",0,1,1,1
18780157,2014-07-24,"Paris, Ile-de-France, France",0,1,1,1
8329289,2013-08-22,"Paris, Ile-de-France, France",0,1,1,1
75599998,2016-06-03,"Paris, Ile-de-France, France",0,1,1,1
52259711,2015-12-25,"Paris, Ile-de-France, France",0,1,1,1
7574928,2013-07-18,"Paris, Ile-de-France, France",0,1,1,1
12967940,2014-03-09,"Paris, Ile-de-France, France",0,1,1,1
184593018,2018-04-16,"Paris, Ile-de-France, France",0,1,1,1
10706805,2013-12-19,"Paris, Ile-de-France, France",0,1,1,1
5044401,2013-02-11,"Paris, Ile-de-France, France",0,1,1,1
65642108,2016-04-03,"Paris, Ile-de-France, France",0,1,1,1
315193802,2019-12-07,"Paris, Ile-de-France, France",0,1,1,1
2076540,2012-04-05,"Paris, Ile-de-France, France",0,1,1,1
3573791,2012-09-15,"Paris, Ile-de-France, France",0,1,1,1
7456534,2013-07-13,"Paris, Ile-de-France, France",0,1,1,1
8985349,2013-09-22,"Paris, Ile-de-France, France",0,1,1,1
16659185,2014-06-11,"Paris, Ile-de-France, France",0,1,1,1
16916599,2014-06-17,"Paris, Ile-de-France, France",0,1,1,1
8448776,2013-08-27,"Paris, Ile-de-France, France",0,1,1,1
18334311,2014-07-18,"Paris, Ile-de-France, France",0,1,1,1
28336422,2015-02-25,"Paris, Ile-de-France, France",0,1,1,1
4064608,2012-11-05,"Paris, Ile-de-France, France",0,1,1,1
29399919,2015-03-15,"Paris, Ile-de-France, France",0,1,1,1
1585170,2012-01-09,"Paris, Ile-de-France, France",0,1,1,1
30277542,2015-03-30,"Paris, Ile-de-France, France",0,1,1,1
10032053,2013-11-15,"Paris, Ile-de-France, France",0,1,1,1
6635477,2013-05-29,"Paris, Ile-de-France, France",0,1,1,1
34116326,2015-05-24,"Paris, Ile-de-France, France",0,1,1,1
7103223,2013-06-25,"Paris, Ile-de-France, France",0,1,1,1
35475971,2015-06-10,"Paris, Ile-de-France, France",0,1,1,1
3875016,2012-10-15,"Paris, Ile-de-France, France",0,1,1,1
29119855,2015-03-10,"Paris, Ile-de-France, France",0,1,1,1
2105588,2012-04-10,"Paris, Ile-de-France, France",0,1,1,1
4954126,2013-02-03,"Paris, Ile-de-France, France",0,1,1,1
38746005,2015-07-17,"Paris, Ile-de-France, France",0,1,1,1
4151113,2012-11-14,"Paris, Ile-de-France, France",0,1,1,1
24371503,2014-12-01,"Paris, Ile-de-France, France",0,1,1,1
3052910,2012-07-25,"Paris, Ile-de-France, France",0,1,1,1
22146757,2014-10-05,"Paris, Ile-de-France, France",0,1,1,1
22109663,2014-10-04,"Paris, Ile-de-France, France",0,1,1,1
14648288,2014-04-23,"Paris, Ile-de-France, France",0,1,1,1
35700894,2015-06-13,"Paris, Ile-de-France, France",0,1,1,1
14967756,2014-05-01,"Paris, Ile-de-France, France",0,1,1,1
7441109,2013-07-12,"Paris, Ile-de-France, France",0,1,1,1
939199,2011-08-08,"Paris, Ile-de-France, France",0,1,1,1
64314951,2016-03-24,"Paris, Ile-de-France, France",0,1,1,1
11258511,2014-01-13,"Paris, Ile-de-France, France",0,1,1,1
21000794,2014-09-06,"Paris, Ile-de-France, France",0,1,1,1
70110443,2016-05-03,"Paris, Ile-de-France, France",0,1,1,1
